REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"R1","S1D2","HYDRO",1,"WATER",2063,35149.974112
"R1","S1D2","HYDRO",1,"WATER",2064,35538.6768
"R1","S1D2","HYDRO",1,"WATER",2065,35927.481216
"R1","S1D2","HYDRO",1,"WATER",2066,36316.285632
"R1","S1D2","HYDRO",1,"WATER",2067,36704.98832
"R1","S1D2","HYDRO",1,"WATER",2068,37093.792736
"R1","S1D2","HYDRO",1,"WATER",2069,37482.495424
"R1","S1D2","HYDRO",1,"WATER",2070,37871.29984
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2020,16270.44
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2021,17666.5464
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2022,19062.4216
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2023,20458.528
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2024,21854.4032
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2025,23250.5096
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2026,24646.616
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2027,26042.4911999999
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2028,27438.5976
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2029,28834.4728
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2030,30230.5792
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2031,31626.6856
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2032,33022.5608
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2033,34418.6672
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2034,34398.8575049989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2035,33353.1487049989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2036,32307.4399049989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2037,31261.7812449989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2038,30216.072444999
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2039,29170.4137849989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2040,28124.7049849989
"R1","S1D2","FOSSIL",1,"FOSSIL_FUEL",2041,27078.9961849989
