
Summary,R1
Emissions
,CO2,28000

Cost,2.8896e+06

TID Demand

,R1

,WATER
2029,2573.11,2492.27,2599.63,2540.34,3032.76,2900.6,2753.14,2667.54
2030,2618.73,2536.45,2645.72,2585.38,3086.52,2952.02,2801.94,2714.83
2031,2664.35,2580.63,2691.8,2630.41,3140.29,3003.44,2850.75,2762.12
2032,2709.95,2624.8,2737.88,2675.44,3194.04,3054.85,2899.54,2809.4
2033,2755.56,2668.98,2783.96,2720.47,3247.8,3106.27,2948.35,2856.69
2034,2801.17,2713.16,2830.04,2765.49,3301.55,3157.68,2997.14,2903.97
2035,2846.78,2757.34,2876.12,2810.53,3355.32,3209.1,3045.95,2951.26
2036,2892.4,2801.52,2922.21,2855.56,3409.08,3260.52,3094.76,2998.55
2037,2938,2845.69,2968.28,2900.59,3462.83,3311.93,3143.55,3045.82
2038,2983.62,2889.87,3014.37,2945.62,3516.6,3363.35,3192.36,3093.11
2039,3029.22,2934.04,3060.44,2990.64,3570.35,3414.76,3241.15,3140.39
2040,3074.84,2978.23,3106.53,3035.68,3624.11,3466.18,3289.96,3187.68
2041,3120.45,3022.41,3152.61,3080.71,3677.87,3517.6,3338.77,3234.97
2042,3166.06,3066.58,3198.69,3125.74,3731.62,3569.01,3387.56,3282.25
2043,3211.67,3110.76,3244.77,3170.77,3785.39,3620.43,3436.37,3329.54
2044,3257.28,3154.93,3290.85,3215.79,3839.14,3671.84,3485.16,3376.81
2045,3302.89,3199.11,3336.93,3260.83,3892.9,3723.26,3533.97,3424.1
2046,3348.51,3243.3,3383.02,3305.86,3946.67,3774.68,3582.78,3471.39
2047,3394.11,3287.47,3429.09,3350.88,4000.42,3826.09,3631.57,3518.67
2048,3439.73,3331.65,3475.18,3395.92,4054.18,3877.51,3680.38,3565.96
2049,3485.33,3375.82,3521.25,3440.94,4107.93,3928.92,3729.17,3613.24
2050,3530.95,3420,3567.34,3485.98,4161.69,3980.34,3777.98,3660.53
2051,3576.56,3464.19,3613.42,3531.01,4215.46,4031.76,3826.79,3707.82
2052,3622.17,3508.36,3659.49,3576.03,4269.21,4083.17,3875.58,3755.09
2053,3667.78,3552.54,3705.58,3621.07,4322.97,4134.59,3924.39,3802.38
2054,3713.38,3596.71,3751.65,3666.09,4376.72,4186,3973.18,3849.66
2055,3759,3640.89,3797.74,3711.13,4430.49,4237.42,4021.99,3896.95
2056,3804.62,3685.07,3843.83,3756.16,4484.25,4288.84,4070.8,3944.24
2057,3850.22,3729.24,3889.9,3801.18,4538,4340.25,4119.59,3991.52
2058,3895.83,3773.43,3935.98,3846.22,4591.76,4391.67,4168.4,4038.81
2059,3941.44,3817.6,3982.06,3891.24,4645.51,4443.08,4217.19,4086.08
2060,3987.05,3861.78,4028.14,3936.28,4699.28,4494.5,4266,4133.37
2061,4032.67,3905.96,4074.23,3981.31,4753.04,4545.92,4314.8,4180.66
2062,4078.27,3950.13,4120.3,4026.33,4806.79,4597.33,4363.6,4227.94
2063,4123.89,3994.32,4166.39,4071.37,4860.56,4648.75,4412.41,4275.23
2064,4169.49,4038.49,4212.46,4116.39,4914.31,4700.15,4461.2,4322.51
2065,4215.11,4082.67,4258.55,4161.43,4968.07,4751.58,4510.01,4369.8
2066,4260.72,4126.85,4304.63,4206.46,5021.83,4803,4558.81,4417.09
2067,4306.33,4171.02,4350.71,4251.48,5075.58,4854.41,4607.61,4464.36
2068,4351.94,4215.2,4396.79,4296.52,5129.35,4905.83,4656.41,4511.65
2069,4397.55,4259.37,4442.87,4341.54,5183.1,4957.23,4705.21,4558.93
2070,4443.16,4303.56,4488.95,4386.58,5236.86,5008.66,4754.02,4606.22

Time Dependent Production (Energy Units) Test

,R1
,WATER
,S1D1,S1D2,S2D1,S2D2,S3D1,S3D2,S4D1,S4D2
2020,1409.27,1409.27,1409.27,1409.27,1409.27,1409.27,1409.27,1409.27
2021,1381.08,1381.08,1381.08,1381.08,1381.08,1381.08,1381.08,1381.08
2022,1352.89,1352.89,1352.89,1352.89,1352.89,1352.89,1352.89,1352.89
2023,1324.71,1324.71,1324.71,1324.71,1324.71,1324.71,1324.71,1324.71
2024,1296.52,1296.52,1296.52,1296.52,1296.52,1296.52,1296.52,1296.52
2025,1268.34,1268.34,1268.34,1268.34,1268.34,1268.34,1268.34,1268.34
2026,1240.15,1240.15,1240.15,1240.15,1240.15,1240.15,1240.15,1240.15
2027,1211.97,1211.97,1211.97,1211.97,1211.97,1211.97,1211.97,1211.97
2028,1183.78,1183.78,1183.78,1183.78,1183.78,1183.78,1183.78,1183.78
2029,1155.6,1155.6,1155.6,1155.6,1155.6,1155.6,1155.6,1155.6
2030,1127.41,1127.41,1127.41,1127.41,1127.41,1127.41,1127.41,1127.41
2031,1099.23,1099.23,1099.23,1099.23,1099.23,1099.23,1099.23,1099.23
2032,1071.04,1071.04,1071.04,1071.04,1071.04,1071.04,1071.04,1071.04
2033,1042.86,1042.86,1042.86,1042.86,1042.86,1042.86,1042.86,1042.86
2034,1092.53,1092.53,1092.53,1092.53,1092.53,1092.53,1092.53,1092.53
2035,1198.65,1198.65,1198.65,1198.65,1198.65,1198.65,1198.65,1198.65
2036,1304.76,1304.76,1304.76,1304.76,1304.76,1304.76,1304.76,1304.76
2037,1410.86,1410.86,1410.86,1410.86,1410.86,1410.86,1410.86,1410.86
2038,1516.98,1516.98,1516.98,1516.98,1516.98,1516.98,1516.98,1516.98
2039,1623.08,1623.08,1623.08,1623.08,1623.08,1623.08,1623.08,1623.08
2040,1729.19,1729.19,1729.19,1729.19,1729.19,1729.19,1729.19,1729.19
2041,1835.3,1835.3,1835.3,1835.3,1835.3,1835.3,1835.3,1835.3
2042,1941.4,1941.4,1941.4,1941.4,1941.4,1941.4,1941.4,1941.4
2043,2047.52,2047.52,2047.52,2047.52,2047.52,2047.52,2047.52,2047.52
2044,2153.62,2153.62,2153.62,2153.62,2153.62,2153.62,2153.62,2153.62
2045,2259.73,2259.73,2259.73,2259.73,2259.73,2259.73,2259.73,2259.73
2046,2365.85,2365.85,2365.85,2365.85,2365.85,2365.85,2365.85,2365.85
2047,2471.95,2471.95,2471.95,2471.95,2471.95,2471.95,2471.95,2471.95
2048,2578.06,2578.06,2578.06,2578.06,2578.06,2578.06,2578.06,2578.06
2049,2684.16,2684.16,2684.16,2684.16,2684.16,2684.16,2684.16,2684.16
2050,2790.27,2790.27,2790.27,2790.27,2790.27,2790.27,2790.27,2790.27
2051,2969.06,2969.06,2969.06,2969.06,2969.06,2969.06,2969.06,2969.06
2052,3162.47,3162.47,3162.47,3162.47,3162.47,3162.47,3162.47,3162.47
2053,3355.91,3355.91,3355.91,3355.91,3355.91,3355.91,3355.91,3355.91
2054,3549.32,3549.32,3549.32,3549.32,3549.32,3549.32,3549.32,3549.32
2055,3742.76,3742.76,3742.76,3742.76,3742.76,3742.76,3742.76,3742.76
2056,3936.2,3936.2,3936.2,3936.2,3936.2,3936.2,3936.2,3936.2
2057,4129.61,4102.17,4129.61,4129.61,4129.61,4129.61,4129.61,4129.61
2058,4230.84,4150.77,4230.84,4230.84,4230.84,4230.84,4230.84,4230.84
2059,4335.58,4199.36,4335.58,4280.37,4335.58,4335.58,4335.58,4335.58
2060,4385.76,4247.96,4385.76,4329.9,4385.76,4385.76,4385.76,4385.76
2061,4435.94,4296.56,4435.94,4379.44,4435.94,4435.94,4435.94,4435.94
2062,4486.1,4345.15,4486.1,4428.97,4486.1,4486.1,4486.1,4486.1
2063,4536.28,4393.75,4536.28,4478.51,4536.28,4536.28,4536.28,4536.28
2064,4586.44,4442.33,4616.82,4528.03,4616.82,4616.82,4616.82,4616.82
2065,4636.62,4490.94,4675.96,4577.57,4675.96,4675.96,4675.96,4675.96
2066,4686.8,4539.54,4735.1,4627.11,4735.1,4735.1,4735.1,4735.1
2067,4736.96,4588.12,4785.78,4676.63,4785.78,4785.78,4785.78,4785.78
2068,4787.14,4636.72,4836.47,4726.17,4836.47,4836.47,4836.47,4836.47
2069,4837.3,4685.31,4887.15,4775.69,4887.15,4887.15,4887.15,4887.15
2070,4887.48,4733.91,4937.85,4825.23,4946.29,4946.29,4946.29,4946.29
,FOSSIL_FUEL
,S1D1,S1D2,S2D1,S2D2,S3D1,S3D2,S4D1,S4D2
2020,2203.68,2033.8,2259.4,2134.82,3169.48,2891.79,2581.93,2402.09
2021,2381.78,2208.32,2438.67,2311.47,3367.94,3084.4,2768.01,2584.38
2022,2559.84,2382.8,2617.91,2488.08,3566.38,3276.97,2954.05,2766.63
2023,2737.94,2557.32,2797.18,2664.73,3764.84,3469.58,3140.13,2948.91
2024,2916.01,2731.8,2976.43,2841.34,3963.28,3662.16,3326.17,3131.16
2025,3094.1,2906.31,3155.7,3017.99,4161.74,3854.77,3512.25,3313.44
2026,3272.2,3080.83,3334.97,3194.63,4360.21,4047.38,3698.32,3495.72
2027,3450.27,3255.31,3514.21,3371.24,4558.64,4239.96,3884.36,3677.97
2028,3628.36,3429.82,3693.48,3547.89,4757.11,4432.57,4070.44,3860.25
2029,3806.43,3604.31,3872.72,3724.5,4955.54,4625.15,4256.48,4042.5
2030,3984.52,3778.82,4052,3901.15,5154.01,4817.76,4442.56,4224.79
2031,4162.62,3953.34,4231.27,4077.79,5352.48,5010.37,4628.63,4407.07
2032,4340.69,4127.82,4410.51,4254.41,5550.91,5202.94,4814.67,4589.32
2033,4518.78,4302.33,4589.78,4431.05,5749.38,5395.55,5000.75,4771.6
2034,4519.89,4299.86,4592.06,4430.7,5770.85,5411.17,5009.83,4776.89
2035,4392.76,4169.14,4466.11,4302.12,5664.09,5298.55,4890.68,4653.94
2036,4265.63,4038.43,4340.15,4173.54,5557.33,5185.94,4771.53,4531
2037,4138.5,3907.72,4214.2,4044.96,5450.57,5073.32,4652.38,4408.06
2038,4011.37,3777.01,4088.25,3916.38,5343.82,4960.71,4533.23,4285.11
2039,3884.25,3646.3,3962.3,3787.8,5237.06,4848.09,4414.08,4162.17
2040,3757.12,3515.59,3836.34,3659.22,5130.3,4735.48,4294.92,4039.23
2041,3629.99,3384.87,3710.38,3530.64,5023.54,4622.86,4175.77,3916.28
2042,3502.86,3254.17,3584.43,3402.06,4916.78,4510.24,4056.62,3793.34
2043,3375.73,3123.45,3458.48,3273.48,4810.02,4397.63,3937.47,3670.39
2044,3248.61,2992.75,3332.53,3144.9,4703.26,4285.01,3818.32,3547.45
2045,3121.48,2862.03,3206.57,3016.32,4596.5,4172.4,3699.17,3424.51
2046,2994.35,2731.32,3080.62,2887.73,4489.74,4059.78,3580.02,3301.56
2047,2867.22,2600.61,2954.67,2759.16,4382.98,3947.17,3460.87,3178.62
2048,2740.09,2469.9,2828.71,2630.57,4276.22,3834.55,3341.72,3055.67
2049,2612.97,2339.19,2702.76,2502,4169.46,3721.93,3222.57,2932.73
2050,2485.83,2208.48,2576.81,2373.41,4062.7,3609.32,3103.42,2809.79
2051,2193.54,1912.6,2285.69,2079.66,3790.78,3331.53,2819.1,2521.68
2052,1867.98,1583.46,1961.3,1752.65,3485.59,3020.49,2501.52,2200.3
2053,1542.38,1254.28,1636.88,1425.6,3180.36,2709.4,2183.9,1878.89
2054,1216.82,925.135,1312.5,1098.59,2875.17,2398.35,1866.32,1557.52
2055,891.225,595.954,988.074,771.542,2569.94,2087.27,1548.7,1236.1
2056,565.627,266.773,663.651,444.492,2264.71,1776.19,1231.08,914.689
2057,240.07,0,339.269,117.482,1959.52,1465.14,913.495,593.315
2058,124.04,0,224.414,0,1863.86,1363.62,805.444,481.471
2059,0,0,101.549,0,1760.19,1254.09,689.38,361.615
2060,0,0,102.725,0,1780.56,1268.61,697.359,365.8
2061,0,0,103.9,0,1800.93,1283.12,705.337,369.985
2062,0,0,105.075,0,1821.3,1297.63,713.313,374.169
2063,0,0,106.25,0,1841.67,1312.15,721.292,378.354
2064,0,0,38.392,0,1793,1257.62,660.235,313.505
2065,0,0,19.196,0,1793,1251.77,647.842,297.319
2066,0,0,0,0,1793,1245.91,635.449,281.133
2067,0,0,0,0,1812.19,1259.24,642.251,284.142
2068,0,0,0,0,1831.39,1272.58,649.054,287.152
2069,0,0,0,0,1850.58,1285.92,655.855,290.161
2070,0,0,0,0,1850.58,1280.06,643.462,273.975
,ELC_01
,S1D1,S1D2,S2D1,S2D2,S3D1,S3D2,S4D1,S4D2
2020,2162.62,2094.67,2184.91,2135.08,2548.94,2437.86,2313.92,2241.99
2021,2208.24,2138.85,2231,2180.11,2602.7,2489.29,2362.73,2289.28
2022,2253.84,2183.03,2277.07,2225.14,2656.45,2540.69,2411.53,2336.55
2023,2299.46,2227.21,2323.15,2270.17,2710.22,2592.11,2460.33,2383.84
2024,2345.06,2271.38,2369.23,2315.19,2763.97,2643.52,2509.13,2431.12
2025,2390.68,2315.56,2415.31,2360.23,2817.73,2694.94,2557.93,2478.41
2026,2436.29,2359.74,2461.4,2405.26,2871.5,2746.37,2606.74,2525.7
2027,2481.9,2403.91,2507.47,2450.29,2925.25,2797.77,2655.53,2572.98
2028,2527.51,2448.1,2553.56,2495.32,2979.01,2849.19,2704.34,2620.27
2029,2573.11,2492.27,2599.63,2540.34,3032.76,2900.6,2753.14,2667.54
2030,2618.73,2536.45,2645.72,2585.38,3086.52,2952.02,2801.94,2714.83
2031,2664.35,2580.63,2691.8,2630.41,3140.29,3003.44,2850.75,2762.12
2032,2709.95,2624.8,2737.88,2675.44,3194.04,3054.85,2899.54,2809.4
2033,2755.56,2668.98,2783.96,2720.47,3247.8,3106.27,2948.35,2856.69
2034,2801.17,2713.16,2830.04,2765.49,3301.55,3157.68,2997.14,2903.97
2035,2846.78,2757.34,2876.12,2810.53,3355.32,3209.1,3045.95,2951.26
2036,2892.4,2801.52,2922.21,2855.56,3409.08,3260.52,3094.76,2998.55
2037,2938,2845.69,2968.28,2900.59,3462.83,3311.93,3143.55,3045.82
2038,2983.62,2889.87,3014.37,2945.62,3516.6,3363.35,3192.36,3093.11
2039,3029.22,2934.04,3060.44,2990.64,3570.35,3414.76,3241.15,3140.39
2040,3074.84,2978.23,3106.53,3035.68,3624.11,3466.18,3289.96,3187.68
2041,3120.45,3022.41,3152.61,3080.71,3677.87,3517.6,3338.77,3234.97
2042,3166.06,3066.58,3198.69,3125.74,3731.62,3569.01,3387.56,3282.25
2043,3211.67,3110.76,3244.77,3170.77,3785.39,3620.43,3436.37,3329.54
2044,3257.28,3154.93,3290.85,3215.79,3839.14,3671.84,3485.16,3376.81
2045,3302.89,3199.11,3336.93,3260.83,3892.9,3723.26,3533.97,3424.1
2046,3348.51,3243.3,3383.02,3305.86,3946.67,3774.68,3582.78,3471.39
2047,3394.11,3287.47,3429.09,3350.88,4000.42,3826.09,3631.57,3518.67
2048,3439.73,3331.65,3475.18,3395.92,4054.18,3877.51,3680.38,3565.96
2049,3485.33,3375.82,3521.25,3440.94,4107.93,3928.92,3729.17,3613.24
2050,3530.95,3420,3567.34,3485.98,4161.69,3980.34,3777.98,3660.53
2051,3576.56,3464.19,3613.42,3531.01,4215.46,4031.76,3826.79,3707.82
2052,3622.17,3508.36,3659.49,3576.03,4269.21,4083.17,3875.58,3755.09
2053,3667.78,3552.54,3705.58,3621.07,4322.97,4134.59,3924.39,3802.38
2054,3713.38,3596.71,3751.65,3666.09,4376.72,4186,3973.18,3849.66
2055,3759,3640.89,3797.74,3711.13,4430.49,4237.42,4021.99,3896.95
2056,3804.62,3685.07,3843.83,3756.16,4484.25,4288.84,4070.8,3944.24
2057,3850.22,3729.24,3889.9,3801.18,4538,4340.25,4119.59,3991.52
2058,3895.83,3773.43,3935.98,3846.22,4591.76,4391.67,4168.4,4038.81
2059,3941.44,3817.6,3982.06,3891.24,4645.51,4443.08,4217.19,4086.08
2060,3987.05,3861.78,4028.14,3936.28,4699.28,4494.5,4266,4133.37
2061,4032.67,3905.96,4074.23,3981.31,4753.04,4545.92,4314.8,4180.66
2062,4078.27,3950.13,4120.3,4026.33,4806.79,4597.33,4363.6,4227.94
2063,4123.89,3994.32,4166.39,4071.37,4860.56,4648.75,4412.41,4275.23
2064,4169.49,4038.49,4212.46,4116.39,4914.31,4700.15,4461.2,4322.51
2065,4215.11,4082.67,4258.55,4161.43,4968.07,4751.58,4510.01,4369.8
2066,4260.72,4126.85,4304.63,4206.46,5021.83,4803,4558.81,4417.09
2067,4306.33,4171.02,4350.71,4251.48,5075.58,4854.41,4607.61,4464.36
2068,4351.94,4215.2,4396.79,4296.52,5129.35,4905.83,4656.41,4511.65
2069,4397.55,4259.37,4442.87,4341.54,5183.1,4957.23,4705.21,4558.93
2070,4443.16,4303.56,4488.95,4386.58,5236.86,5008.66,4754.02,4606.22
,ELC_02
,S1D1,S1D2,S2D1,S2D2,S3D1,S3D2,S4D1,S4D2
2020,2162.62,2094.67,2184.91,2135.08,2548.94,2437.86,2313.92,2241.99
2021,2208.24,2138.85,2231,2180.11,2602.7,2489.29,2362.73,2289.28
2022,2253.84,2183.03,2277.07,2225.14,2656.45,2540.69,2411.53,2336.55
2023,2299.46,2227.21,2323.15,2270.17,2710.22,2592.11,2460.33,2383.84
2024,2345.06,2271.38,2369.23,2315.19,2763.97,2643.52,2509.13,2431.12
2025,2390.68,2315.56,2415.31,2360.23,2817.73,2694.94,2557.93,2478.41
2026,2436.29,2359.74,2461.4,2405.26,2871.5,2746.37,2606.74,2525.7
2027,2481.9,2403.91,2507.47,2450.29,2925.25,2797.77,2655.53,2572.98
2028,2527.51,2448.1,2553.56,2495.32,2979.01,2849.19,2704.34,2620.27
2029,2573.11,2492.27,2599.63,2540.34,3032.76,2900.6,2753.14,2667.54
2030,2618.73,2536.45,2645.72,2585.38,3086.52,2952.02,2801.94,2714.83
2031,2664.35,2580.63,2691.8,2630.41,3140.29,3003.44,2850.75,2762.12
2032,2709.95,2624.8,2737.88,2675.44,3194.04,3054.85,2899.54,2809.4
2033,2755.56,2668.98,2783.96,2720.47,3247.8,3106.27,2948.35,2856.69
2034,2801.17,2713.16,2830.04,2765.49,3301.55,3157.68,2997.14,2903.97
2035,2846.78,2757.34,2876.12,2810.53,3355.32,3209.1,3045.95,2951.26
2036,2892.4,2801.52,2922.21,2855.56,3409.08,3260.52,3094.76,2998.55
2037,2938,2845.69,2968.28,2900.59,3462.83,3311.93,3143.55,3045.82
2038,2983.62,2889.87,3014.37,2945.62,3516.6,3363.35,3192.36,3093.11
